--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Dec 18 22:24:32 2022
--------------------------------------------------------------------------------
3125
7612|NPDATABKP.EXE|HP\hp-pc|3.23828125
7616|chrome.exe|HP\hp-pc|7.68359375
7620|chrome.exe|HP\hp-pc|24.109375
7624|ZVMOUNT.EXE|HP\hp-pc|2.4765625
7784|chrome.exe|HP\hp-pc|21.31640625
7808|chrome.exe|HP\hp-pc|43.0234375
8040|audiodg.exe||11.87109375
8200|NPAVIDS.EXE||4.4375
8952|chrome.exe|HP\hp-pc|28.4375
9116|chrome.exe|HP\hp-pc|31.6640625
9176|python.exe|HP\hp-pc|135.94140625
9316|chrome.exe|HP\hp-pc|13.34765625
9900|fsnotifier.exe|HP\hp-pc|0.38671875
9912|conhost.exe|HP\hp-pc|0.77734375
