--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Thu Dec  1 11:59:07 2022
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.0}
{'pid': 3244, 'username': None, 'name': 'GoogleCrashHandler64.exe', 'vms': 1.27734375}
{'pid': 3304, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 25.11328125}
{'pid': 3340, 'username': 'HP\\hp-pc', 'name': 'crashpad_handler.exe', 'vms': 1.11328125}
{'pid': 3380, 'username': None, 'name': 'conhost.exe', 'vms': 0.859375}
{'pid': 3580, 'username': 'HP\\hp-pc', 'name': 'cmd.exe', 'vms': 1.62890625}
{'pid': 3624, 'username': None, 'name': 'GoogleCrashHandler.exe', 'vms': 1.33984375}
{'pid': 3672, 'username': None, 'name': 'LMS.exe', 'vms': 3.84375}
{'pid': 3696, 'username': 'HP\\hp-pc', 'name': 'AcroRd32.exe', 'vms': 75.359375}
{'pid': 3764, 'username': 'HP\\hp-pc', 'name': 'GoogleInputHandler.exe', 'vms': 5.4609375}
{'pid': 3984, 'username': None, 'name': 'EMON.EXE', 'vms': 11.94140625}
{'pid': 4128, 'username': 'HP\\hp-pc', 'name': 'EMAILSCN.EXE', 'vms': 11.09765625}
{'pid': 4172, 'username': 'HP\\hp-pc', 'name': 'ClientCore.exe', 'vms': 3.62890625}
{'pid': 4184, 'username': 'HP\\hp-pc', 'name': 'OPBHOBrokerDsktop.exe', 'vms': 2.3125}
{'pid': 4196, 'username': 'HP\\hp-pc', 'name': 'SynTPHelper.exe', 'vms': 0.76171875}
{'pid': 4228, 'username': None, 'name': 'NPDEC.EXE', 'vms': 9.671875}
{'pid': 4304, 'username': 'HP\\hp-pc', 'name': 'NvBackend.exe', 'vms': 12.234375}
{'pid': 4312, 'username': 'HP\\hp-pc', 'name': 'chrome.exe', 'vms': 1.83984375}
{'pid': 4636, 'username': 'HP\\hp-pc', 'name': 'SynTPEnh.exe', 'vms': 5.63671875}
{'pid': 4648, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 32.63671875}
{'pid': 4652, 'username': 'HP\\hp-pc', 'name': 'explorer.exe', 'vms': 125.828125}
{'pid': 4748, 'username': 'HP\\hp-pc', 'name': 'igfxHK.exe', 'vms': 1.93359375}
{'pid': 4760, 'username': 'HP\\hp-pc', 'name': 'igfxEM.exe', 'vms': 3.65234375}
{'pid': 4892, 'username': 'HP\\hp-pc', 'name': 'AuthManSvr.exe', 'vms': 3.73828125}
{'pid': 4940, 'username': 'HP\\hp-pc', 'name': 'NPAV4.EXE', 'vms': 4.1484375}
{'pid': 4976, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 24.6875}
{'pid': 4996, 'username': 'HP\\hp-pc', 'name': 'YouCamService.exe', 'vms': 4.87109375}
{'pid': 5004, 'username': 'HP\\hp-pc', 'name': 'OPBHOBroker.exe', 'vms': 2.171875}
{'pid': 5020, 'username': 'HP\\hp-pc', 'name': 'CoolSense.exe', 'vms': 1.88671875}
{'pid': 5028, 'username': 'HP\\hp-pc', 'name': 'conhost.exe', 'vms': 0.77734375}
{'pid': 5040, 'username': None, 'name': 'audiodg.exe', 'vms': 24.984375}
{'pid': 5264, 'username': 'HP\\hp-pc', 'name': 'SynciosDeviceService.exe', 'vms': 4.828125}
{'pid': 5316, 'username': 'HP\\hp-pc', 'name': 'concentr.exe', 'vms': 9.36328125}
{'pid': 5356, 'username': 'HP\\hp-pc', 'name': 'crashpad_handler.exe', 'vms': 1.19140625}
{'pid': 5404, 'username': 'HP\\hp-pc', 'name': 'redirector.exe', 'vms': 1.6015625}
{'pid': 5460, 'username': 'HP\\hp-pc', 'name': 'androidnotifier.exe', 'vms': 1.22265625}
{'pid': 5516, 'username': 'HP\\hp-pc', 'name': 'jusched.exe', 'vms': 3.9921875}
{'pid': 5572, 'username': 'HP\\hp-pc', 'name': 'Receiver.exe', 'vms': 11.3046875}
{'pid': 5764, 'username': 'HP\\hp-pc', 'name': 'fsnotifier.exe', 'vms': 0.38671875}
{'pid': 5832, 'username': 'HP\\hp-pc', 'name': 'wfcrun32.exe', 'vms': 4.375}
{'pid': 5872, 'username': None, 'name': 'ZVMonNt.exe', 'vms': 25.94921875}
{'pid': 5944, 'username': 'HP\\hp-pc', 'name': 'SettingSyncHost.exe', 'vms': 13.69140625}
{'pid': 6180, 'username': 'HP\\hp-pc', 'name': 'adb.exe', 'vms': 1.72265625}
{'pid': 6296, 'username': 'HP\\hp-pc', 'name': 'jucheck.exe', 'vms': 3.79296875}
{'pid': 6444, 'username': 'HP\\hp-pc', 'name': 'wmplayer.exe', 'vms': 59.16015625}
{'pid': 6572, 'username': 'HP\\hp-pc', 'name': 'GZIP.EXE', 'vms': 0.85546875}
{'pid': 6748, 'username': 'HP\\hp-pc', 'name': 'NPSPACEA.EXE', 'vms': 2.25}
{'pid': 6776, 'username': None, 'name': 'hpqwmiex.exe', 'vms': 1.6171875}
{'pid': 7044, 'username': 'HP\\hp-pc', 'name': 'ZVMOUNT.EXE', 'vms': 2.453125}
{'pid': 7100, 'username': 'HP\\hp-pc', 'name': 'PROCES~2.EXE', 'vms': 8.55078125}
{'pid': 7760, 'username': 'HP\\hp-pc', 'name': 'RdrCEF.exe', 'vms': 32.6484375}
