--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Thu Dec  1 12:25:30 2022
--------------------------------------------------------------------------------
WmiPrvSE.exe||8508|3.234375
chrome.exe|HP\hp-pc|8852|6.9609375
RdrCEF.exe|HP\hp-pc|8928|14.72265625
SearchIndexer.exe||8960|30.36328125
WmiApSrv.exe||9128|1.390625
chrome.exe|HP\hp-pc|9452|26.7734375
APCONSVC.EXE||9484|12.8984375
wuauclt.exe|HP\hp-pc|9680|1.5078125
conhost.exe||10056|0.66796875
WmiPrvSE.exe||10436|4.46484375
GoogleDriveFS.exe|HP\hp-pc|10448|37.44921875
taskhost.exe|HP\hp-pc|10740|6.09375
chrome.exe|HP\hp-pc|11060|179.40234375
DropboxOEM.exe|HP\hp-pc|11196|66.4921875
chrome.exe|HP\hp-pc|11212|36.890625
NPJUNKC.EXE|HP\hp-pc|11452|1.55859375
cmd.exe|HP\hp-pc|11476|1.57421875
CHFOL.EXE|HP\hp-pc|11924|2.99609375
chrome.exe|HP\hp-pc|12128|15.09375
GoogleDriveFS.exe|HP\hp-pc|12356|13.421875
chrome.exe|HP\hp-pc|12772|13.25390625
chrome.exe|HP\hp-pc|12992|35.4140625
chrome.exe|HP\hp-pc|13880|35.93359375
chrome.exe|HP\hp-pc|14024|59.75390625
GoogleDriveFS.exe|HP\hp-pc|14088|24.109375
chrome.exe|HP\hp-pc|14232|34.5625
RdrCEF.exe|HP\hp-pc|14400|8.63671875
python.exe|HP\hp-pc|14832|5.15625
chrome.exe|HP\hp-pc|15016|213.5546875
GoogleDriveFS.exe|HP\hp-pc|15044|29.1953125
chrome.exe|HP\hp-pc|15340|45.79296875
chrome.exe|HP\hp-pc|15504|20.578125
chrome.exe|HP\hp-pc|15984|30.109375
NPAVIDS.EXE||16328|6.28125
RdrCEF.exe|HP\hp-pc|16500|53.79296875
GoogleDriveFS.exe|HP\hp-pc|16664|18.25
conhost.exe|HP\hp-pc|16872|0.9296875
chrome.exe|HP\hp-pc|17420|26.5390625
chrome.exe|HP\hp-pc|17492|37.09375
chrome.exe|HP\hp-pc|17780|36.1953125
NPDATABKP.EXE|HP\hp-pc|18480|2.765625
crashpad_handler.exe|HP\hp-pc|18520|1.0546875
conhost.exe|HP\hp-pc|18564|1.05859375
dllhost.exe||19008|1.84765625
RdrCEF.exe|HP\hp-pc|19076|29.3671875
chrome.exe|HP\hp-pc|19128|25.66015625
chrome.exe|HP\hp-pc|19212|141.40625
RdrCEF.exe|HP\hp-pc|19232|33.01171875
AcroRd32.exe|HP\hp-pc|19300|35.078125
RuntimeBroker.exe|HP\hp-pc|19356|4.64453125
conhost.exe||19444|0.671875
