--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Dec 18 22:14:54 2022
--------------------------------------------------------------------------------
3125
|548|jhi_service.exe|0.96484375
|552|csrss.exe|2.140625
|616|nvvsvc.exe|4.88671875
|624|wininit.exe|0.796875
|632|csrss.exe|3.3203125
|636|nvxdsync.exe|6.54296875
|676|winlogon.exe|1.43359375
|732|services.exe|3.3359375
|740|lsass.exe|6.625
|812|svchost.exe|5.48046875
HP\hp-pc|820|chrome.exe|67.01171875
|864|svchost.exe|4.43359375
|896|svchost.exe|5.8671875
|924|svchost.exe|23.578125
|944|dwm.exe|23.97265625
HP\hp-pc|956|RuntimeBroker.exe|4.98828125
|964|nvstreamsvc.exe|5.296875
|980|nvvsvc.exe|2.03125
|1048|svchost.exe|32.265625
|1108|svchost.exe|12.91015625
|1128|conhost.exe|0.6796875
|1160|ZVCMD64.EXE|0.55859375
|1172|igfxCUIService.exe|1.66015625
|1204|svchost.exe|105.77734375
|1292|GoogleCrashHandler64.exe|1.29296875
|1376|GoogleInputService.exe|1.125
HP\hp-pc|1392|chrome.exe|47.80078125
|1420|RtkAudioService64.exe|1.59765625
|1436|RAVBg64.exe|5.515625
|1472|svchost.exe|7.76953125
|1488|esif_uf.exe|1.5078125
|1580|wlanext.exe|1.265625
|1600|conhost.exe|0.6171875
|1624|conhost.exe|0.625
|1684|spoolsv.exe|4.109375
|1712|svchost.exe|21.1640625
HP\hp-pc|1732|chrome.exe|45.6640625
|1832|armsvc.exe|0.98828125
|1848|GamesAppIntegrationService.exe|1.24609375
HP\hp-pc|1900|RtkNGUI64.exe|7.50390625
HP\hp-pc|1920|SynTPEnh.exe|5.2265625
|1940|dasHost.exe|3.359375
|1960|svchost.exe|3.265625
|1976|BTDevMgr.exe|1.4609375
HP\hp-pc|1996|EMAILSCN.EXE|9.50390625
|2024|UpdaterService.exe|9.9140625
|2080|WEBPROT2.EXE|11.24609375
|2152|NPHOST.EXE|4.625
|2196|NPProt.exe|0.81640625
|2228|NvNetworkService.exe|1.3359375
HP\hp-pc|2248|explorer.exe|100.3125
